linear_regression,lasso_selection,correlation_selection,lasso,splines
-17.157006510297578,-19.807304570901916,-23.035133697714187,-42.86470000045417,-32.79511152374697
-33.93485792884225,-23.89927842271348,-17.61892688029054,-13.337786408327412,-10.139933353523169
-19.14363677774464,-19.940107024625103,-46.34662613809742,-16.88022047348894,-6.6292687020674945
-15.408485670688444,-14.753552076734774,-28.959550651491227,-41.84277628504543,-13.722341268325163
-20.256215285264815,-39.91947539120481,-21.643155862759322,-22.37471365862348,-14.967293645572306
-36.23828279515691,-17.92267666815045,-15.363610703856745,-21.9424885081832,-11.590168428219638
-17.776794457013818,-15.275065770747723,-14.161397405676583,-15.393119102448344,-35.69197321983124
-20.36441087468104,-12.535825344155128,-29.22624664957539,-15.153287391339562,-9.663962430159014
-30.11408294490868,-22.60013431050613,-53.38582815741158,-24.603583775209565,-19.095332507793696
-18.323637033269705,-21.516182389404094,-26.4877082980389,-22.738869982853565,-8.396825979151256
-21.854661557178208,-6.543588898759908,-11.603604119549614,-41.0621132869003,-35.89283686348152
-30.506564264983325,-32.573264588500194,-12.287441200889521,-27.572741540097482,-26.292531484850855
-21.73844942711572,-25.646227620209547,-15.723940516248595,-31.119037007806966,-13.766967248613566
-24.858238326774135,-15.961388496611415,-19.020789593862006,-16.824865774448078,-10.209329944815085
-13.503183935106154,-38.03320980250173,-16.223872369747486,-12.131280523765874,-21.347406829826244
-14.595907791138345,-53.04571058102368,-27.56341711547563,-27.729920558819323,-8.823655821462168
-40.34028859399035,-10.638553473594522,-35.349554287763155,-20.388549682044623,-11.379095330861956
-29.682211659202444,-14.719361981841885,-32.031615186556024,-18.923866884717736,-6.4832931987027935
-18.300598422842402,-19.426402434544173,-24.888651137366402,-13.600769684667737,-24.64912730863214
-29.959252680263855,-15.892942730824295,-27.892878942334935,-37.80378919471828,-11.48629547210636
-18.576535805576203,-44.269514438476506,-26.878312002689867,-16.276244383310015,-29.511535845294823
-23.516362289430823,-20.24937262859762,-15.336807559708765,-21.849937653898706,-13.644311694386777
-25.55604950074455,-46.03758884824378,-24.411233066422014,-44.812068963151916,-9.982357066953526
-20.556768375655274,-21.903908569270854,-20.540152822300552,-19.599197089899768,-17.010014735989117
-27.449471988647282,-17.002894097192137,-17.087952050233746,-28.646938426077007,-10.717295841872396
-22.02060336993484,-20.026206141774686,-23.73697271964131,-22.53809097736929,-12.897758204112371
-21.883143996726226,-23.706203934876104,-22.99391198876094,-13.998754174360245,-28.47914448874176
-37.861191829470265,-14.73854678782728,-13.640860262986218,-29.89417846796932,-23.546036969246444
-22.625197581499048,-28.11177604775862,-14.184869920883292,-19.474049779025417,-15.827219672594014
-16.021063901832015,-19.490835637199652,-19.747053519434928,-25.416359898632372,-14.915873622464847
-17.90912389516432,-28.57210920121072,-30.552459902626037,-42.55770542005082,-30.979464371043584
-25.88313189366686,-32.276806964857705,-28.710445414011264,-14.896245044009953,-12.34964329928739
-30.835165507931407,-14.337478788558553,-26.240984647120303,-36.075256819153616,-22.487181100927295
-12.265398590872614,-22.97502984856411,-28.09960224121307,-19.91949506726192,-6.853061367192331
-19.4260824909559,-36.88588682657724,-28.699178857306705,-14.859734053898432,-18.025017304401494
-32.66484474025297,-16.090957964373203,-23.63855199715284,-24.44049559540895,-9.115977719429555
-20.657534727603153,-23.092623496179804,-25.187864553564918,-17.96004407620565,-9.796014238127825
-20.705667464517987,-13.250403641715206,-14.247907803787749,-43.400933062424976,-23.95443003367996
-17.723619136425715,-15.45183982335364,-26.623865467948207,-23.628461000476246,-22.42763119007324
-20.357899149433866,-21.817294800756184,-28.822122155457073,-22.515556267580674,-25.108769780401825
-39.603963628917015,-66.41994910931625,-29.74126713668583,-32.16371048412128,-11.19762615581093
-17.96806859450528,-27.987156503277184,-14.08211569707443,-19.332118358166632,-15.41362343556758
-24.97373224616121,-20.82886820206805,-32.43476515363813,-14.171056184542573,-9.088050081414602
-24.526822038196507,-21.520732405224877,-18.462036416570992,-21.89885235764523,-10.205223505996772
-27.30594981156261,-16.257554583059935,-33.24831674904282,-34.855595645360395,-22.981851175527577
-21.25752249712314,-17.36132102609695,-23.464475349932933,-18.468751059699173,-12.267391739460841
-24.133016269802123,-22.767757913187637,-14.986482476148856,-15.242918394925928,-11.93000445968181
-25.207449693601056,-17.18964057539848,-20.42295988840584,-34.444299905603934,-27.709459369174525
-12.327763614028163,-17.769622366218986,-12.414192932883418,-15.227003462243864,-13.286279712759143
-10.66704305040584,-36.178719953232665,-19.70661427137183,-16.784914755138374,-9.006006381828064
-29.0759829556227,-27.311984559689517,-28.928206157749123,-37.286455939720966,-22.258847311858812
-12.140727121595319,-31.65627584430397,-25.449674439333407,-21.43748721961865,-8.91718348274751
-20.52443840885139,-24.170725195803858,-32.944462246643745,-28.12909403906576,-12.80349426412084
-46.302469146162856,-23.38981003514739,-36.08600430327569,-20.661161325824228,-12.793872775538732
-30.766657070325177,-26.28629533752677,-17.366301230341357,-22.16338630427119,-23.57602007800472
-23.204027015859715,-11.542215248548809,-27.000416968966523,-33.03570814508269,-23.928460892541047
-32.325457230952345,-24.83156974114401,-17.217107450749175,-17.23710641419641,-8.604867126788562
-29.035610814129264,-21.267201278383418,-11.276073483151404,-24.567781315576294,-13.190430867662073
-23.40680575930336,-19.24779253441119,-25.389893802172605,-22.02004229888683,-21.39593924376809
-25.68410789352573,-14.054287724028015,-20.218288845366125,-15.651156077623327,-21.654896119255785
-18.607819938878965,-16.512752153133576,-14.240269131542604,-27.667344609238366,-28.165381624578814
-24.445537830460207,-14.069332439625535,-50.878398406189554,-23.041422928119083,-9.862804937096216
-14.091083374460714,-17.235268051550484,-37.461922071894094,-22.23539117959403,-21.13969719884744
-10.205623574972442,-53.21665323144842,-7.151779351278471,-33.978611358042656,-10.015851827163324
-36.936426584116276,-19.119303380667446,-27.63192107644284,-16.407740827041852,-13.820037748135427
-28.737606079108865,-33.89089660361612,-17.151713735560612,-28.995062183329694,-10.830177805509795
-27.501825541294693,-33.824774487365964,-31.108060824767435,-25.827428018055798,-12.378954752570516
-19.299841235368884,-14.918358066540081,-35.11875041093691,-28.059552643422172,-13.837618268909802
-17.518469396350707,-9.675899131357992,-30.08191582087359,-16.884964691101448,-16.061712196704704
-34.66446978164647,-17.088029286336937,-15.904868934385405,-16.299989739539022,-38.374551994914874
-29.379617975706488,-14.454413049785988,-19.051930175061603,-17.060008976999534,-9.020167319718821
-20.874119869927327,-50.678389227385864,-34.621484210808376,-14.280373144071154,-24.514034950435246
-21.589899876788802,-20.755087463944275,-18.34480672437368,-19.28803537634577,-7.243640950273113
